,name,latitude,longitude
114,Sofia,42.68529528393054,23.314708152110086
115,Minsk,53.901923295043105,27.56468129665825
116,Thimphu,27.472985859175765,89.63901403703
117,Gaborone,-24.646313457438907,25.91194779328538
118,Canberra,-35.283028545372076,149.1290262442992
119,Ouagadougou,12.372261836543373,-1.5266696149164432
120,Sarajevo,43.850022398954934,18.383001666953305
121,Naypyidaw,19.76850288475015,96.11667267063035
122,Nukualofa,-21.13851235669864,-175.22056447761656
123,Hargeysa,9.56002239881775,44.06531001666542
124,Victoria,-4.6166316539734,55.44998978559113
125,Sao Tome,0.3334021188329075,6.733325153234773
126,Apia,-13.841545042448445,-171.73864160860316
127,Valletta,35.89973248193087,14.514710651312782
128,Male,4.1667081898118,73.499947467955
129,Jerusalem,31.778407815573303,35.20662593459866
